STATUS | wrapper  | 2018/03/31 18:42:02 | Base configuration file is /usr/local/hpe/oo/central/conf/central-wrapper.conf
STATUS | wrapper  | 2018/03/31 18:42:02 | Found #include file in /usr/local/hpe/oo/central/conf/central-wrapper.conf: %CENTRAL_HOME%/conf/wrapper-central-license.conf
STATUS | wrapper  | 2018/03/31 18:42:02 |   After environment variable replacements: /usr/local/hpe/oo/central/conf/wrapper-central-license.conf
STATUS | wrapper  | 2018/03/31 18:42:02 |   Reading included configuration file, /usr/local/hpe/oo/central/conf/wrapper-central-license.conf
WARN   | wrapper  | 2018/03/31 18:42:03 | Unable to write to the status file: /usr/local/hpe/oo/central/bin/./HPOOCentral.status
WARN   | wrapper  | 2018/03/31 18:42:04 | Unable to write to the status file: /usr/local/hpe/oo/central/bin/./HPOOCentral.java.status
STATUS | wrapper  | 2018/03/31 18:42:04 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2018/03/31 18:42:04 | Java Service Wrapper Professional Edition 64-bit 3.5.17
STATUS | wrapper  | 2018/03/31 18:42:04 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/03/31 18:42:04 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/03/31 18:42:04 |   Licensed to Hewlett-Packard Company for OO Server
STATUS | wrapper  | 2018/03/31 18:42:04 | 
WARN   | wrapper  | 2018/03/31 18:42:05 | Unable to write to the status file: /usr/local/hpe/oo/central/bin/./HPOOCentral.java.status
WARN   | wrapper  | 2018/03/31 18:42:06 | Unable to write to the status file: /usr/local/hpe/oo/central/bin/./HPOOCentral.java.status
STATUS | wrapper  | 2018/03/31 18:42:06 | Launching a JVM...
WARN   | wrapper  | 2018/03/31 18:42:07 | Unable to write to the status file: /usr/local/hpe/oo/central/bin/./HPOOCentral.java.status
INFO   | jvm 1    | 2018/03/31 18:42:07 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=256m; support was removed in 8.0
INFO   | jvm 1    | 2018/03/31 18:42:07 | WrapperManager: Initializing...
WARN   | wrapper  | 2018/03/31 18:42:08 | Unable to write to the status file: /usr/local/hpe/oo/central/bin/./HPOOCentral.java.status
WARN   | wrapper  | 2018/03/31 18:42:09 | Unable to write to the status file: /usr/local/hpe/oo/central/bin/./HPOOCentral.java.status
INFO   | jvm 1    | 2018/03/31 18:42:09 | Mar 31, 2018 6:42:09 PM org.apache.catalina.startup.SetAllPropertiesRule begin
INFO   | jvm 1    | 2018/03/31 18:42:09 | WARNING: [SetAllPropertiesRule]{Server/Service/Connector} Setting property 'sendReasonPhrase' to 'true' did not find a matching property.
INFO   | jvm 1    | 2018/03/31 18:42:09 | Mar 31, 2018 6:42:09 PM org.apache.catalina.startup.VersionLoggerListener log
